"Date","GUAR3.SA.Open","GUAR3.SA.High","GUAR3.SA.Low","GUAR3.SA.Close","GUAR3.SA.Volume","GUAR3.SA.Adjusted"
2017-01-02,7.5625,7.5625,7.19000005722046,7.19000005722046,13600,5.96121644973755
2017-01-03,7.55999994277954,7.58500003814697,7.47499990463257,7.52500009536743,59200,6.23896503448486
2017-01-04,7.56374979019165,7.64750003814697,7.5,7.5,1e+05,6.21823740005493
2017-01-05,7.69999980926514,7.74625015258789,7.51375007629395,7.66499996185303,75200,6.3550386428833
2017-01-06,7.57000017166138,7.72499990463257,7.31374979019165,7.4375,188000,6.16641855239868
2017-01-09,7.37624979019165,7.56500005722046,7.31624984741211,7.43625020980835,37600,6.16538381576538
2017-01-10,7.54250001907349,7.87874984741211,7.53625011444092,7.75,110400,6.42551136016846
2017-01-11,7.62624979019165,7.7337498664856,7.625,7.66375017166138,53600,6.35400247573853
2017-01-12,7.84999990463257,8.42500019073486,7.82250022888184,8.42500019073486,350400,6.98515129089355
2017-01-13,8.26375007629395,8.42249965667725,8.06999969482422,8.21875,124000,6.81415224075317
2017-01-16,8.34875011444092,8.37374973297119,8.01624965667725,8.25,44800,6.84006023406982
2017-01-17,8.23999977111816,8.36874961853027,8.13749980926514,8.35999965667725,212000,6.93126201629639
2017-01-18,8.21125030517578,8.67374992370605,8.21125030517578,8.67374992370605,168000,7.19139099121094
2017-01-19,8.6587495803833,8.6875,8.5,8.60499954223633,186400,7.13439178466797
2017-01-20,8.81750011444092,8.89375019073486,8.5024995803833,8.70625019073486,655200,7.218337059021
2017-01-23,8.87125015258789,8.87125015258789,8.5,8.5,178400,7.04733514785767
2017-01-24,8.74625015258789,8.74625015258789,8.5,8.64875030517578,133600,7.17066526412964
2017-01-26,8.70874977111816,8.87625026702881,8.52750015258789,8.52750015258789,155200,7.07013607025146
2017-01-27,8.7524995803833,8.76249980926514,8.53250026702881,8.60000038146973,104000,7.13024759292603
